Question,Answer,Topic,Tags,CardType
You have a Pandas DataFrame representing sales data. You need to calculate the total revenue generated by each distinct product category. Which Pandas function sequence is the standard way to accomplish this aggregation?,"<b>ANSWER:</b> Use <code>groupby()</code> followed by an aggregation like <code>sum()</code>.<br><br><b>The Simple Explanation:</b><br>The split-apply-combine strategy is core to pandas. You 'split' the data by category using `groupby`, 'apply' the sum function, and 'combine' the results.<br><br><b>The Code:</b><br><code>category_revenue = df.groupby('Category')['Revenue'].sum().reset_index()</code>",Analyst Python,pandas analyst groupby aggregation type-scenario,scenario
Write a code snippet to pair up feature names (from `X.columns`) with their Random Forest importance scores (`model.feature_importances_`) and store them in a Pandas DataFrame.,"<b>ANSWER:</b><br><code>import pandas as pd<br>fi = pd.DataFrame({'Feature': X.columns, 'Importance': model.feature_importances_})<br>fi = fi.sort_values('Importance', ascending=False)</code>",Analyst ML,ml sklearn feature-importance fromscratch type-fromscratch,fromscratch
You need to split your users into 4 equal quartiles based on their lifetime spend. Which window function handles this bucketing automatically?,"<b>ANSWER:</b> <code>NTILE(4)</code><br><br><b>The Simple Explanation:</b><br>NTILE distributes rows into a specified number of roughly equal groups.<br><br><b>The Code:</b><br><code>SELECT UserID, NTILE(4) OVER (ORDER BY LifetimeSpend DESC) as Quartile FROM Users;</code>",SQL Postgres,sql window-function ntile type-scenario,scenario
`defaultdict(int)` vs `{}` (standard dict) when counting items — what's the difference?,"<b>ANSWER:</b><br><code>defaultdict</code> automatically initializes missing keys with a default value (like 0 for int), so you don't have to check `if key in dict:` before incrementing.<br>A standard dict throws a `KeyError` if you try to modify a non-existent key.",Python Core,python data-structures defaultdict compare type-compare,compare
"If you divide 5 / 2 in Postgres vs MySQL, what are the different results?",<b>ANSWER:</b><br>Postgres: Returns <code>2</code> (integer division truncates the decimal). You must do <code>5.0 / 2</code> to get 2.5.<br>MySQL: Returns <code>2.5</code> automatically.,SQL Dialect Diff,sql math division dialect compare type-predict,predict
"What does this code do?<br><code>import os<br>base = os.path.dirname(os.path.abspath(__file__))<br>file_path = os.path.join(base, 'data', 'config.json')</code>","<b>ANSWER:</b> It securely builds an absolute file path relative to the location of the Python script itself.<br><br><b>The Simple Explanation:</b><br>This prevents 'file not found' errors that happen when you run a script from a different working directory, by anchoring the path to `__file__`.",Python Files,python files os path script-location type-reverse,reverse
"`csv.writer(f)` vs `csv.DictWriter(f, fieldnames)` — what's the difference?","<b>ANSWER:</b><br><code>csv.writer</code> expects you to pass lists of values (e.g., `['Alice', 30]`).<br><code>csv.DictWriter</code> expects you to pass dictionaries (e.g., `{'name': 'Alice', 'age': 30}`) and maps them to the correct columns using the `fieldnames` list.",Python Core,python files csv writer compare type-compare,compare
Fill in the blank for the MySQL equivalent of Postgres' `SERIAL` primary key:<br><code>id INT PRIMARY KEY ____</code>,<b>ANSWER:</b> <code>AUTO_INCREMENT</code>,SQL Dialect Diff,sql auto-increment serial dialect type-cloze,cloze
"Given a cleaned DataFrame `df` with a target column `y`, train an XGBoost classifier, make predictions on a test set, and print the accuracy.","<b>ANSWER:</b><br><code>from xgboost import XGBClassifier<br>from sklearn.model_selection import train_test_split<br>from sklearn.metrics import accuracy_score<br><br>X = df.drop('y', axis=1)<br>y = df['y']<br>X_train, X_test, y_train, y_test = train_test_split(X, y)<br><br>model = XGBClassifier()<br>model.fit(X_train, y_train)<br>preds = model.predict(X_test)<br>print(accuracy_score(y_test, preds))</code>",Analyst ML,ml xgboost full-workflow fromscratch type-fromscratch,fromscratch
Fill in the blank to extract the year from a timestamp in PostgreSQL/MySQL:<br><code>SELECT ____(YEAR FROM OrderDate) as OrderYear FROM Sales;</code>,<b>ANSWER:</b> <code>EXTRACT</code>,SQL Postgres,sql dates timestamp type-cloze,cloze
"You notice that a 'Price' column in your DataFrame is represented as a string with dollar signs (e.g., '$1,200.50'). You need to convert this to a float to perform mathematical operations. How do you clean this column?","<b>ANSWER:</b> Use the <code>.str.replace()</code> method to remove characters, then <code>astype(float)</code>.<br><br><b>The Simple Explanation:</b><br>The `.str` accessor allows string manipulation on the entire column. You strip out the non-numeric characters before casting the type.<br><br><b>The Code:</b><br><code>df['Price'] = df['Price'].str.replace('$', '').str.replace(',', '').astype(float)</code>",Analyst Python,pandas analyst data-cleaning strings type-scenario,scenario
Write a query to quickly inspect the first 10 rows of a large table named `LargeTable` using standard Postgres/MySQL syntax.,<b>ANSWER:</b><br><code>SELECT * FROM LargeTable LIMIT 10;</code>,SQL Postgres,sql limit type-fromscratch,fromscratch
"This script loops over a list and tries to print the index and value, but it's throwing an error. How do you fix it?<br><code>for i, val in my_list:<br>    print(i, val)</code>","<b>ANSWER:</b> You cannot unpack a standard list like that directly.<br><br><b>The Fix:</b> Use <code>enumerate()</code> to generate the index.<br><code>for i, val in enumerate(my_list):</code>",Python Core,python core loop enumerate type-debug,debug
"What does this code do?<br><code>import csv<br>with open('data.csv', mode='r') as file:<br>    reader = csv.DictReader(file)<br>    for row in reader:<br>        print(row['email'])</code>","<b>ANSWER:</b> It reads a CSV file line by line, converting each row into a dictionary using the header row as keys, and prints the 'email' column.<br><br><b>The Simple Explanation:</b><br>`DictReader` is extremely useful because it maps header names to values automatically, avoiding index-based access like `row[2]`.",Python Core,python files csv dictreader type-reverse,reverse
"You are cleaning a dataset and notice a column contains string values with messy extra spaces at the beginning and end, e.g., '  Data   '. How do you clean this directly in SQL?","<b>ANSWER:</b> Use the <code>TRIM()</code> function.<br><br><b>The Simple Explanation:</b><br>`TRIM()` removes leading and trailing spaces from a string. For specific sides, use `LTRIM()` or `RTRIM()`.<br><br><b>The Code:</b><br><code>SELECT TRIM(column_name) as Cleaned_Data FROM TableName;</code>",SQL Postgres,sql data-cleaning strings type-scenario,scenario
"Write a query to find the second-highest salary in each department, without using LIMIT/OFFSET.","<b>ANSWER:</b><br><code>SELECT Department, Employee, Salary FROM (<br>  SELECT Department, Employee, Salary, DENSE_RANK() OVER (PARTITION BY Department ORDER BY Salary DESC) as rnk<br>  FROM Employees<br>) t WHERE rnk = 2;</code>",SQL Postgres,sql window-function subquery type-fromscratch,fromscratch
"Your classification model has 99% accuracy, but the business complains it's entirely failing to identify fraudulent transactions. The dataset has 99,000 normal transactions and 1,000 frauds. What metric should you use instead of accuracy?","<b>ANSWER:</b> Use a <code>confusion_matrix</code> and look at Precision, Recall, or the F1-Score.<br><br><b>The Simple Explanation:</b><br>A model that simply guesses 'Not Fraud' every time will be 99% accurate on this highly imbalanced dataset, but it is useless. Recall measures what percentage of the actual frauds you successfully caught.",Analyst ML,ml sklearn evaluation metrics type-scenario,scenario
What is the difference in string concatenation between Postgres and SQL Server?,"<b>ANSWER:</b><br>Postgres (and standard SQL): Uses the double pipe <code>||</code> (e.g., <code>'A' || 'B'</code>).<br>SQL Server: Uses the plus sign <code>+</code> (e.g., <code>'A' + 'B'</code>).",SQL Dialect Diff,sql strings concat dialect compare type-compare,compare
Write a query to get the current timestamp in MySQL vs Postgres.,<b>ANSWER:</b><br><code>NOW()</code> works in both! Postgres also frequently uses <code>CURRENT_TIMESTAMP</code>.,SQL Dialect Diff,sql dates now dialect type-fromscratch,fromscratch
"What does this code do?<br><code>SELECT p.ProductName, s.SaleAmount FROM Products p INNER JOIN Sales s ON p.ProductID = s.ProductID;</code>","<b>ANSWER:</b> Joins tables and returns only products that have at least one corresponding sale.<br><br><b>The Simple Explanation:</b><br>An `INNER JOIN` returns only the rows where there is a match in both tables. If a product has no sales, it will be excluded.",SQL Postgres,sql joins inner type-reverse,reverse
What is the difference between Postgres `TEXT` and MySQL `VARCHAR(255)`?,"<b>ANSWER:</b><br>In Postgres, `TEXT` is heavily optimized and you rarely need to specify a length limit unless required by business rules. In MySQL, you must specify lengths for `VARCHAR` and `TEXT` has indexing limitations.",SQL Dialect Diff,sql datatypes strings dialect compare type-compare,compare
"You have a table of employees and want to assign a unique sequential integer to each row based on their hire date, regardless of duplicate dates. Which window function accomplishes this?","<b>ANSWER:</b> Use the <code>ROW_NUMBER()</code> window function.<br><br><b>The Simple Explanation:</b><br>`ROW_NUMBER()` assigns a distinct, sequential integer to each row within a partition, unlike `RANK()` which can give the same number to ties.<br><br><b>The Code:</b><br><code>SELECT EmployeeName, HireDate, ROW_NUMBER() OVER (ORDER BY HireDate) as RowNum FROM Employees;</code>",SQL Postgres,sql window-function row-number type-scenario,scenario
"Given a table of Orders with a CustomerID column containing values [10, 10, 20, 30], what does <code>SELECT COUNT(DISTINCT CustomerID) FROM Orders;</code> return?","<b>ANSWER:</b> 3<br><br><b>The Simple Explanation:</b><br>The distinct customers are 10, 20, and 30.",SQL Postgres,sql aggregation count-distinct type-predict,predict
You have a folder of daily CSV exports (`data/*.csv`). You need to load them all into a single massive Pandas DataFrame. How do you combine `glob` and `pd.concat` to do this?,"<b>ANSWER:</b> Use a list comprehension to read each file into a DataFrame, then pass the list to <code>pd.concat()</code>.<br><br><b>The Code:</b><br><code>import glob, pandas as pd<br>files = glob.glob('data/*.csv')<br>df_all = pd.concat([pd.read_csv(f) for f in files], ignore_index=True)</code>",Analyst Python,pandas analyst files glob concat type-scenario,scenario
"Write a script from scratch that creates an `outputs/` folder if it doesn't exist, and saves a DataFrame `df` to `outputs/cleaned.csv`.","<b>ANSWER:</b><br><code>import os, pandas as pd<br>os.makedirs('outputs', exist_ok=True)<br>df.to_csv('outputs/cleaned.csv', index=False)</code>",Analyst Python,pandas analyst files os to_csv type-fromscratch,fromscratch
"You are writing a Python script to update customer balances. Halfway through, the script crashes. How do you ensure the database doesn't save partial updates?","<b>ANSWER:</b> Wrap the queries in a Transaction using <code>BEGIN;</code> and <code>COMMIT;</code>.<br><br><b>The Simple Explanation:</b><br>If the script crashes, you (or the script) issues a `ROLLBACK;` command, undoing all changes made since `BEGIN`. `COMMIT` saves them permanently.",SQL Postgres,sql transactions type-scenario,scenario
"You want to pivot data so that distinct values from a 'Month' column become their own separate columns (e.g., 'Jan_Sales', 'Feb_Sales'). Without a native PIVOT function, how is this manually done in SQL?","<b>ANSWER:</b> Use conditional aggregation combining <code>SUM()</code> and <code>CASE WHEN</code>.<br><br><b>The Simple Explanation:</b><br>You create a new column for each category by wrapping a `CASE` statement inside an aggregate function. If the row matches the category, it returns the value; otherwise, it returns 0.<br><br><b>The Code:</b><br><code>SELECT Region, SUM(CASE WHEN Month = 'Jan' THEN Sales ELSE 0 END) as Jan_Sales FROM Sales GROUP BY Region;</code>",SQL Postgres,sql pivot aggregation type-scenario,scenario
`LabelEncoder` vs `OneHotEncoder` — what is the difference and when should you use each?,"<b>ANSWER:</b><br><code>LabelEncoder</code>: Converts categories into single integers (0, 1, 2). Use for ordinal data (Low, Medium, High) or the target column `y`.<br><code>OneHotEncoder</code>: Creates a new binary column (0/1) for each category. Use for nominal features (Red, Green, Blue) so the model doesn't think Red (0) is mathematically less than Blue (2).",Analyst ML,ml sklearn encoding compare type-compare,compare
Fill in the blank to add 1 day to a date in Postgres:<br><code>SELECT CURRENT_DATE + INTERVAL ____;</code>,"<b>ANSWER:</b> <code>'1 day'</code><br><br>(In MySQL, the syntax is `INTERVAL 1 DAY` without quotes).",SQL Dialect Diff,sql dates interval dialect type-cloze,cloze
"This script throws a `FileNotFoundError` if the folder doesn't exist, breaking the pipeline. How do you safely create the folder only if it's missing?<br><code>os.mkdir('exports')</code>","<b>ANSWER:</b> You should use <code>os.makedirs()</code> with <code>exist_ok=True</code>.<br><br><b>The Fix:</b><br><code>os.makedirs('exports', exist_ok=True)</code>",Python Files,python files os makedirs type-debug,debug
What does a Random Forest do that makes it generally superior to a single Decision Tree?,"<b>ANSWER:</b> It builds many individual decision trees on different random subsets of the data/features, and then averages their predictions (or takes a majority vote).<br><br><b>The Simple Explanation:</b><br>A single tree easily memorizes (overfits) the training data. Averaging hundreds of trees cancels out their individual errors.",Analyst ML,ml sklearn random-forest reverse type-reverse,reverse
You have an `Employees` table with `EmployeeID` and `ManagerID`. You need a report showing each employee's name next to their manager's name. How do you do this?,"<b>ANSWER:</b> Use a self-join by joining the table to itself.<br><br><b>The Simple Explanation:</b><br>Alias the table twice (e.g., `e` for employee, `m` for manager) and join where the employee's ManagerID matches the manager's EmployeeID.<br><br><b>The Code:</b><br><code>SELECT e.Name as Employee, m.Name as Manager FROM Employees e LEFT JOIN Employees m ON e.ManagerID = m.EmployeeID;</code>",SQL Postgres,sql self-join type-scenario,scenario
"What does this code do, and why is `random_state` important?<br><code>X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2, random_state=42)</code>","<b>ANSWER:</b> It randomly sets aside 20% of the data for testing.<br><br><b>The Simple Explanation:</b><br>`random_state=42` seeds the random number generator. It ensures that every time you (or a colleague) run the script, the exact same rows go into the test set, making your results reproducible.",Analyst ML,ml sklearn train_test_split reverse type-reverse,reverse
"Fill in the blank to apply a custom function `calc_tax` to every row, rather than every column:<br><code>df['Tax'] = df.apply(calc_tax, axis=____)</code>","<b>ANSWER:</b> <code>1</code><br><br><b>The Simple Explanation:</b><br>In pandas, `axis=0` applies down columns, while `axis=1` applies across rows.",Analyst Python,pandas analyst apply lambda type-cloze,cloze
"As a data analyst, you are asked to calculate the running total of sales for each month across different regions. You need to ensure the sum accumulates row by row based on the date. How do you implement this in SQL?","<b>ANSWER:</b> Use the <code>SUM()</code> window function with an <code>OVER()</code> clause ordered by date.<br><br><b>The Simple Explanation:</b><br>A window function performs a calculation across a set of table rows that are somehow related to the current row. Using `ORDER BY` inside `OVER()` creates a cumulative effect.<br><br><b>The Code:</b><br><code>SELECT Region, SaleDate, Amount, SUM(Amount) OVER (PARTITION BY Region ORDER BY SaleDate) as RunningTotal FROM Sales;</code>",SQL Postgres,sql window-function running-total type-scenario,scenario
Write a pandas operation from scratch that groups by 'Region' and sums 'Revenue' while taking the mean of 'Age'.,"<b>ANSWER:</b><br><code>summary = df.groupby('Region').agg({'Revenue': 'sum', 'Age': 'mean'})</code>",Analyst Python,pandas analyst groupby aggregation multiple type-fromscratch,fromscratch
"Fill in the blank to print a confusion matrix:<br><code>from sklearn.metrics import confusion_matrix<br>print(confusion_matrix(____, predictions))</code>",<b>ANSWER:</b> <code>y_test</code> (True labels always go first by convention in sklearn metrics),Analyst ML,ml sklearn confusion-matrix type-cloze,cloze
"The developer is trying to delete an entire directory containing old CSVs, but this code throws an `OSError: Directory not empty`. How do you fix it?<br><code>import os<br>os.rmdir('old_data')</code>",<b>ANSWER:</b> `os.rmdir` only works on completely empty directories.<br><br><b>The Fix:</b> Use `shutil.rmtree` to recursively delete everything inside.<br><code>import shutil<br>shutil.rmtree('old_data')</code>,Python Files,python files os shutil delete type-debug,debug
"The analyst tries to train a model with `model.fit(X_train, y_train)`, but gets a `ValueError: could not convert string to float`. What is the problem?","<b>ANSWER:</b> Sklearn models only understand numbers, but `X_train` contains text/categorical strings (like 'Red', 'Blue').<br><br><b>The Fix:</b> Encode the categorical columns into numbers using `OneHotEncoder` or pandas `get_dummies` before fitting.",Analyst ML,ml sklearn encoding error debug type-debug,debug
"What does `model.predict_proba(X_test)[:, 1]` specifically extract?","<b>ANSWER:</b> It extracts an array of probabilities specifically for the positive class (class 1).<br><br><b>The Simple Explanation:</b><br>`predict_proba` returns a 2D array: column 0 is the probability of class 0, and column 1 is the probability of class 1. Analysts usually only care about the probability of class 1 (e.g., probability of churn).",Analyst ML,ml sklearn predict_proba type-reverse,reverse
Fill in the blank to recursively find all `.json` files in a directory and its subdirectories using pathlib:<br><code>from pathlib import Path<br>for p in Path('.').____('*.json'):</code>,<b>ANSWER:</b> <code>rglob</code>,Python Files,python files pathlib glob recursive type-cloze,cloze
What does `[x for x in range(10) if x % 2 == 0]` evaluate to?,"<b>ANSWER:</b> `[0, 2, 4, 6, 8]`<br><br><b>The Simple Explanation:</b><br>This is a list comprehension with a conditional. It iterates 0 through 9 and only keeps the even numbers.",Python Core,python core list-comprehension conditional predict type-predict,predict
"Why does this dictionary comprehension throw a SyntaxError?<br><code>squares = {x: x**2 for x in [1, 2, 3]}</code>","<b>ANSWER:</b> It doesn't! This is perfectly valid Python.<br><br><b>The Simple Explanation:</b><br>Dictionary comprehensions use `{}` and a colon `:` to separate the key and value. The output is `{1: 1, 2: 4, 3: 9}`.",Python Core,python core dict-comprehension type-debug,debug
"If `x = '5'` and `y = 2`, what is `int(x) * y`?","<b>ANSWER:</b> `10`<br><br><b>The Simple Explanation:</b><br>The string '5' is cast to an integer 5, then multiplied by 2.",Python Core,python core types cast predict type-predict,predict
"Your DataFrame contains customer data, but there are missing values (NaN) in the 'Age' column. As an analyst, you decide the best approach is to fill these missing values with the median age of the dataset. How is this coded?","<b>ANSWER:</b> Use the <code>fillna()</code> method combined with <code>median()</code>.<br><br><b>The Simple Explanation:</b><br>`fillna()` replaces NA/NaN values. By calculating the median of the column and passing it to `fillna()`, you handle the missing data statistically.<br><br><b>The Code:</b><br><code>df['Age'] = df['Age'].fillna(df['Age'].median())</code>",Analyst Python,pandas analyst data-cleaning nulls type-scenario,scenario
Write a query to create a virtual table named `HighValueCustomers` that stores the definition of a complex SELECT statement.,<b>ANSWER:</b><br><code>CREATE VIEW HighValueCustomers AS<br>SELECT * FROM Customers WHERE TotalSpend > 10000;</code>,SQL Postgres,sql view fromscratch type-fromscratch,fromscratch
"You are writing a script that will be run via command line (e.g., `python run_model.py --date 2023-01-01`). Which built-in library is best for parsing these arguments safely?","<b>ANSWER:</b> Use the <code>argparse</code> module.<br><br><b>The Simple Explanation:</b><br>`argparse` cleanly parses command-line arguments, generates help/usage messages automatically, and enforces data types.<br><br><b>The Code:</b><br><code>import argparse<br>parser = argparse.ArgumentParser()<br>parser.add_argument('--date')<br>args = parser.parse_args()</code>",Python Core,python core argparse cli type-scenario,scenario
"What does this code do, and what is this pattern called?<br><code>SELECT c.Name, o.OrderDate FROM Customers c LEFT JOIN Orders o ON c.CustomerID = o.CustomerID WHERE o.OrderID IS NULL;</code>","<b>ANSWER:</b> Finds customers who have never placed an order using an anti-join pattern.<br><br><b>The Simple Explanation:</b><br>A `LEFT JOIN` combined with a `WHERE right_table.id IS NULL` filters out any rows that had a match, leaving only the rows from the left table that don't exist in the right table.",SQL Postgres,sql joins anti-join type-reverse,reverse
"Write a function from scratch that calculates the date exactly 30 days ago from today, and returns it as a YYYY-MM-DD string.","<b>ANSWER:</b><br><code>from datetime import datetime, timedelta<br>def thirty_days_ago():<br>    dt = datetime.now() - timedelta(days=30)<br>    return dt.strftime('%Y-%m-%d')</code>",Python Core,python dates timedelta type-fromscratch,fromscratch
You want to format today's date as a string like '2023-10-25' to append to a filename. Which datetime method do you use?,<b>ANSWER:</b> Use the <code>strftime()</code> method.<br><br><b>The Simple Explanation:</b><br>`strftime` stands for 'String Format Time'. It converts a datetime object into a readable string using format codes.<br><br><b>The Code:</b><br><code>from datetime import datetime<br>date_str = datetime.now().strftime('%Y-%m-%d')</code>,Python Core,python dates datetime strftime type-scenario,scenario
"Fill in the blank to perform an upsert in Postgres (insert if new, update if exists):<br><code>INSERT INTO users (id, logins) VALUES (1, 1) ON CONFLICT (id) DO ____ SET logins = logins + 1;</code>",<b>ANSWER:</b> <code>UPDATE</code>,SQL Postgres,sql insert upsert type-cloze,cloze
"Given the file path `C:/data/sales_2023.csv`, what does `Path('C:/data/sales_2023.csv').stem` return?","<b>ANSWER:</b> `sales_2023`<br><br><b>The Simple Explanation:</b><br>`.stem` returns the final component of the path, without its suffix/extension.",Python Files,python files pathlib stem predict type-predict,predict
`ROWS BETWEEN` vs `RANGE BETWEEN` in window frames — what's the difference?,<b>ANSWER:</b><br><code>ROWS</code> looks at the exact physical number of rows before/after the current one.<br><code>RANGE</code> looks at rows that share the same *value* in the ORDER BY clause (treating ties as a single group).,SQL Postgres,sql window-function frame compare type-compare,compare
"You need to categorize customers into 'High', 'Medium', and 'Low' value based on their total spend. This categorization logic needs to happen dynamically within your SELECT statement. How do you implement this conditional logic in SQL?","<b>ANSWER:</b> Use a <code>CASE WHEN</code> statement.<br><br><b>The Simple Explanation:</b><br>`CASE WHEN` is the SQL equivalent of an if-else statement. It evaluates conditions sequentially and returns a result when a condition is met.<br><br><b>The Code:</b><br><code>SELECT Spend, CASE WHEN Spend > 1000 THEN 'High' WHEN Spend > 500 THEN 'Medium' ELSE 'Low' END as Category FROM Customers;</code>",SQL Postgres,sql case-when conditional type-scenario,scenario
"This query fails with an error about aggregation. What is wrong and how do you fix it?<br><code>SELECT Region, SUM(Revenue) as Total FROM Sales GROUP BY Region WHERE SUM(Revenue) > 50000;</code>","<b>ANSWER:</b> You cannot use WHERE on an aggregated column.<br><br><b>The Fix:</b> Use the <code>HAVING</code> clause instead.<br><br><b>The Code:</b><br><code>SELECT Region, SUM(Revenue) as Total FROM Sales GROUP BY Region HAVING SUM(Revenue) > 50000;</code>",SQL Postgres,sql group-by having type-debug,debug
"This script is supposed to loop through all Excel files and sum the 'Revenue' column, but it's very slow because it concatenates DataFrames inside the loop. How do you fix it?<br><code>df_all = pd.DataFrame()<br>for f in files:<br>    df = pd.read_excel(f)<br>    df_all = pd.concat([df_all, df])</code>","<b>ANSWER:</b> Appending to a DataFrame in a loop creates a new copy of the data in memory every single iteration, leading to exponential slowdowns.<br><br><b>The Fix:</b> Append to a standard Python list, then concatenate exactly once at the end.<br><code>dfs = []<br>for f in files:<br>    dfs.append(pd.read_excel(f))<br>df_all = pd.concat(dfs)</code>",Analyst Python,pandas analyst files loop concat performance type-debug,debug
"Fill in the blank to concatenate all email addresses of users in a department into a single comma-separated string in Postgres:<br><code>SELECT Department, ____(Email, ', ') FROM Users GROUP BY Department;</code>",<b>ANSWER:</b> <code>STRING_AGG</code>,SQL Postgres,sql string-agg postgres type-cloze,cloze
"What does this code do, and what is this pattern called?<br><code>WITH RECURSIVE org AS (<br>  SELECT id, name, manager_id FROM employees WHERE manager_id IS NULL<br>  UNION ALL<br>  SELECT e.id, e.name, e.manager_id FROM employees e INNER JOIN org o ON e.manager_id = o.id<br>) SELECT * FROM org;</code>","<b>ANSWER:</b> It recursively traverses a hierarchy (like an org chart), starting from the boss and joining down to all subordinates.<br><br><b>The Simple Explanation:</b><br>This is a Recursive CTE. The first part is the anchor (base case), and the second part references the CTE itself to loop until no more rows are found.",SQL Postgres,sql cte recursive type-reverse,reverse
`LIMIT 10` vs `TOP 10` — which databases use which?,"<b>ANSWER:</b><br><code>LIMIT 10</code>: PostgreSQL, MySQL, SQLite (goes at the end of the query).<br><code>TOP 10</code>: SQL Server (goes immediately after SELECT).",SQL Dialect Diff,sql limit top dialect compare type-compare,compare
You need to physically move a processed CSV file from the 'incoming' folder to the 'archive' folder. Which built-in library and function do you use?,"<b>ANSWER:</b> Use <code>shutil.move()</code>.<br><br><b>The Simple Explanation:</b><br>`shutil` provides high-level file operations. `shutil.move(src, dst)` safely moves a file or directory.<br><br><b>The Code:</b><br><code>import shutil<br>shutil.move('incoming/data.csv', 'archive/data.csv')</code>",Python Files,python files shutil move type-scenario,scenario
"If `data = ['A', 'A', 'B', 'A', 'C']`, what does `Counter(data)` output?","<b>ANSWER:</b> `Counter({'A': 3, 'B': 1, 'C': 1})`<br><br><b>The Simple Explanation:</b><br>`Counter` from the `collections` module instantly creates a frequency dictionary of elements.",Python Core,python data-structures collections counter type-predict,predict
Write a script from scratch that creates a `logger` which writes info-level messages to a file named `pipeline.log`.,"<b>ANSWER:</b><br><code>import logging<br>logging.basicConfig(filename='pipeline.log', level=logging.INFO)<br>logging.info('Pipeline started')</code>",Python Core,python core logging type-fromscratch,fromscratch
`COALESCE()` vs `IFNULL()` — what's the difference?,"<b>ANSWER:</b><br><code>COALESCE()</code>: Standard SQL, accepts multiple arguments and returns the first non-null one.<br><code>IFNULL()</code>: MySQL specific (or ISNULL in SQL Server), only accepts two arguments.",SQL Dialect Diff,sql null-handling compare type-compare,compare
"Given a table with an index on the `Email` column, the analyst writes this query, but `EXPLAIN` shows a slow sequential scan. Why?<br><code>SELECT * FROM Users WHERE LOWER(Email) = 'test@example.com';</code>","<b>ANSWER:</b> Wrapping a column in a function (like `LOWER`) prevents the database from using a standard index on that column.<br><br><b>The Fix:</b> Create a functional/expression index on `LOWER(Email)`, or use a case-insensitive collation.",SQL Postgres,sql indexing performance type-debug,debug
